,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TAS2R1,1.24622289382099,2.48774301902295,0.935853618904924,2.65826083136158,0.00785450778722933,0.018800341153862
TAS2R38,6.38218338129479,3.82220375666216,0.693561025367712,5.51098406176401,3.56833037656081e-08,3.20298413663149e-07
TBR1,12.1995989698835,2.93680267660669,0.702811527993579,4.17864898287997,2.93245873344546e-05,0.000138913186011571
TBX1,1386.91036826846,2.64407347735964,0.475720916094516,5.5580349484451,2.72828765580508e-08,2.49433811299675e-07
TBX10,3.28783133889472,2.91352846710115,0.767217107142072,3.79752802691563,0.000146146256677536,0.000576533606846979
TBX20,42.3609284521272,-4.52057286367841,0.586877024116495,-7.70275999556097,1.33158318226497e-14,3.83876408830103e-13
TBX4,159.510194386501,-3.10030189861955,0.489272726133067,-6.33655164701815,2.34964443622182e-10,3.22956081704347e-09
TBX5,105.978869615603,-3.00712575797181,0.405689771104053,-7.4123775657152,1.24054967840123e-13,3.08373144021842e-12
TBX5-AS1,39.0966574076706,-2.00568120002616,0.420521451536311,-4.76950983760451,1.84674724950593e-06,1.15541418953023e-05
TCAM1P,87.6325127804705,3.70019783129086,0.657209543692529,5.63016448376771,1.80037843570859e-08,1.71155462594686e-07
TCEAL2,86.7604223974056,-3.28101642316572,0.646272297670403,-5.07683283809734,3.83778229555592e-07,2.77766845114934e-06
TCEAL6,1.26573135789859,-2.64123646268039,0.536229031528059,-4.92557528105821,8.41125190459959e-07,5.67420968653547e-06
TCEAL7,88.8331502757278,-2.5948795043413,0.350984047948502,-7.39315510066154,1.43385056623487e-13,3.50535406049358e-12
TCF21,277.162934758839,-4.28521729102,0.366322531507427,-11.6979353505399,1.30592245372661e-31,8.78450503873435e-29
TCF24,21.4256844133951,3.42601601182547,0.402765572734829,8.50622854521152,1.79682602278282e-17,8.6897481598547e-16
TCHHL1,7.9654973165344,4.698558917163,1.13340850393313,4.14551232045478,3.39054768294315e-05,0.000157388911472129
TCIM,4776.05534305479,-2.06147960369026,0.379474670707359,-5.43245640044319,5.55835371916218e-08,4.79721368032512e-07
